City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Aurangabad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),3116003,19.877263,75.3390241
Municipal Corporation of Delhi,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),1300026,28.56838425,77.23814069
Greater Mumbai,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),789702.1,19.1074889,72.8718705
Chennai,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),413321.78,13.0836939,80.270186
Hyderabad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),252100.65,17.360589,78.4740613
Kochi,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),88748,9.9674277,76.2454436
Pune,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),84455.81,18.521428,73.8544541
Gurugram,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),80048.03,28.4646148,77.0299194
Bengaluru,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),55756,12.9767936,77.590082
Indore,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),54357.28,22.7203616,75.8681996
Thane,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),49582.95,19.1943294,72.9701779
Chandigarh,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),43141,30.7334421,76.7797143
Nashik,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),32791.98,20.0112475,73.7902364
Tiruppur,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),31412,11.1017815,77.345192
Ahmedabad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),30457,23.0216238,72.5797068
Ranchi,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),27027.28,23.3700501,85.3250387
Bhubaneshwar,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),23696.85,20.2602964,85.8394521
Navi Mumbai,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),23301.99,19.0308262,73.0198537
Jaipur,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),23109,26.9154576,75.8189817
Vishakhapatnam,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),19880,17.686815,83.218483
Gandhinagar,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),18376,23.2232877,72.6492267
Pimpri Chinchwad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),18260.45,18.6279288,73.8009829
